DEPTH,LCAL,GR,RHOM,APLU,Four_RT,Two_RT,One_RT,Four_RX,Two_RX,One_RX,DTCO,DTSH
4162.5012,8.8088,28.8639,2.4464,0.0765,0.84775,0.84527,0.84122,0.87383,0.87482,0.86977,66.1528,111.2937
4162.3488,8.9947,34.4542,2.4638,0.0758,0.847,0.84423,0.84029,0.87252,0.87358,0.86915,66.2144,113.6973
4162.1964,8.9149,36.168,2.5142,0.0817,0.84631,0.84342,0.83963,0.87137,0.87258,0.86876,66.0682,110.3308
4162.044,8.722,33.7112,2.5311,0.0923,0.84568,0.84282,0.83922,0.87038,0.87179,0.86851,65.8147,108.2402
4161.8916,8.5572,29.0951,2.5133,0.0988,0.84513,0.84239,0.839,0.86956,0.87115,0.86835,65.0493,109.1405
4161.7392,8.466,31.1954,2.4899,0.0945,0.84465,0.8421,0.83891,0.86887,0.87064,0.86818,65.5448,107.6793
4161.5868,8.4719,41.8897,2.4794,0.0889,0.84424,0.8419,0.83889,0.86831,0.8702,0.86795,64.8051,107.0987
4161.4344,8.512,50.3529,2.3729,0.0882,0.8439,0.84177,0.8389,0.86786,0.86981,0.86762,64.999,108.4406
4161.282,8.6718,49.6382,2.3283,0.1003,0.84362,0.84167,0.83895,0.86748,0.86946,0.86721,64.8539,108.9421
4161.1296,8.7534,39.9929,2.3427,0.1176,0.84341,0.84161,0.83902,0.86718,0.86913,0.86674,65.2161,109.8836
4160.9772,8.6833,33.6813,2.4219,0.1177,0.84324,0.84156,0.83915,0.86692,0.86883,0.8663,65.0425,110.9929
4160.8248,8.66,33.8709,2.4464,0.1039,0.84313,0.84153,0.83935,0.86671,0.86857,0.86598,65.7239,110.8302
4160.6724,8.5863,33.3063,2.453,0.0863,0.84305,0.84152,0.83959,0.86654,0.86835,0.86584,66.4297,109.9056
4160.52,8.661,30.3379,2.4605,0.0809,0.84302,0.84153,0.83987,0.86639,0.86818,0.86591,65.9835,108.247
4160.3676,8.7752,26.4873,2.474,0.0763,0.84301,0.84154,0.84014,0.86628,0.86805,0.86614,66.4206,107.0038
4160.2152,8.7238,23.7452,2.4758,0.0785,0.84303,0.84157,0.84035,0.86619,0.86797,0.86637,66.2118,106.6547
4160.0628,8.8081,22.566,2.4916,0.0731,0.84308,0.84162,0.84041,0.86613,0.86795,0.86645,66.0969,106.6962
4159.9104,8.8221,22.0118,2.5067,0.0713,0.84314,0.8417,0.84029,0.86608,0.86797,0.86623,66.0208,106.2966
4159.758,8.8857,21.8631,2.5299,0.0717,0.84322,0.8418,0.84003,0.86604,0.86803,0.86569,66.3495,105.5286
4159.6056,9.1143,21.6226,2.5491,0.0709,0.84331,0.84194,0.83975,0.86602,0.86815,0.86499,66.2313,105.0811
4159.4532,9.4802,22.2352,2.5323,0.067,0.84342,0.84212,0.83966,0.86599,0.86829,0.86442,66.0128,104.1783
4159.3008,9.4528,23.8425,2.5502,0.0654,0.84353,0.84232,0.83998,0.86597,0.86845,0.86434,65.5844,104.0879
4159.1484,9.347,25.4655,2.5275,0.0672,0.84365,0.84251,0.8408,0.86594,0.86857,0.86499,65.7636,103.7976
4158.996,9.3338,25.6405,2.497,0.0649,0.84377,0.84266,0.84202,0.86591,0.86863,0.86636,66.3616,103.5754
4158.8436,9.1654,25.6988,2.4939,0.0668,0.8439,0.84273,0.84333,0.8659,0.86856,0.86814,64.9173,102.3294
4158.6912,8.8008,25.2781,2.5159,0.0611,0.84403,0.84268,0.84427,0.8659,0.86836,0.86976,64.5505,100.0844
4158.5388,8.6232,25.0483,2.5165,0.0634,0.84417,0.84251,0.84437,0.86595,0.868,0.87059,64.6318,99.8079
