DEPTH,LCAL,GR,RHOM,APLC,APLU
4134.612,8.9562,35.1511,2.6107,0.0878,0.1014
4134.4596,9.3153,36.0773,2.5549,0.0876,0.1005
4134.3072,9.3775,35.2094,2.5484,0.0801,0.0931
4134.1548,9.3925,34.1629,2.554,0.0823,0.0958
4134.0024,9.3968,33.9863,2.5361,0.0867,0.1002
4133.85,9.1294,33.9462,2.518,0.0879,0.1018
4133.6976,9.0906,35.2298,2.5148,0.084,0.0992
4133.5452,9.0652,34.4218,2.5008,0.0788,0.0954
4133.3928,9.1806,33.1601,2.4711,0.0808,0.0968
4133.2404,9.0686,30.9375,2.4651,0.0839,0.0974
4133.088,9.0226,30.3103,2.4753,0.0867,0.0982
4132.9356,8.9859,28.8564,2.4792,0.0826,0.0926
4132.7832,8.9358,28.2592,2.4798,0.0803,0.09
4132.6308,8.8596,28.4196,2.4754,0.0866,0.0956
4132.4784,8.8344,29.8983,2.4718,0.0921,0.1014
4132.326,8.8057,30.7929,2.5187,0.0917,0.1012
4132.1736,8.7901,32.2515,2.5335,0.0848,0.0953
4132.0212,8.783,43.5706,2.5149,0.087,0.097
4131.8688,9.9683,49.7361,2.5134,0.0858,0.0983
4131.7164,10.4807,50.9066,2.5715,0.0767,0.092
4131.564,10.4597,48.3876,2.5435,0.0886,0.1072
4131.4116,10.6501,65.9675,2.5245,0.111,0.131
4131.2592,10.3644,70.8646,2.5095,0.1332,0.1577
4131.1068,9.4913,63.198,2.5333,0.1177,0.1441
4130.9544,9.3243,37.6563,2.5304,0.0937,0.1231
4130.802,9.3305,27.4464,2.5281,0.0834,0.1102
4130.6496,9.7369,25.1723,2.5247,0.0703,0.0976
4130.4972,10.0571,25.1855,2.5236,0.0687,0.0937
4130.3448,10.1131,25.7331,2.527,0.0689,0.0938
4130.1924,10.0411,25.0184,2.5149,0.0714,0.095
4130.04,9.8152,24.5244,2.5041,0.0724,0.0965
4129.8876,9.1888,32.1447,2.479,0.0726,0.0969
4129.7352,9.12,65.6916,2.4902,0.0738,0.0995
4129.5828,9.1268,106.206,2.5705,0.0842,0.1131
4129.4304,9.0447,134.5605,2.6768,0.115,0.1422
4129.278,9.0412,131.7928,2.6687,0.1282,0.1531
4129.1256,8.938,113.2826,2.5754,0.117,0.1395
4128.9732,8.9061,79.7794,2.5093,0.097,0.1164
4128.8208,8.8643,48.475,2.4834,0.0874,0.1031
4128.6684,8.831,26.1226,2.4872,0.0835,0.0954
4128.516,8.7883,23.1034,2.4912,0.0763,0.0847
4128.3636,8.7636,24.5036,2.5013,0.0689,0.0761
4128.2112,8.7511,24.6114,2.4942,0.063,0.0701
4128.0588,8.7503,24.7865,2.4869,0.0653,0.072
4127.9064,8.7512,22.9054,2.4833,0.0692,0.0767
4127.754,8.7629,21.9041,2.475,0.0748,0.0844
4127.6016,8.7989,20.2851,2.4856,0.0761,0.0901
4127.4492,8.8306,18.9104,2.4804,0.0858,0.1012
4127.2968,8.8298,19.6711,2.4582,0.0805,0.0989
4127.1444,8.8226,25.6658,2.4512,0.0796,0.1007
4126.992,8.8106,42.7895,2.4332,0.0735,0.1008
4126.8396,8.809,57.6244,2.4305,0.0915,0.1193
4126.6872,9.1212,68.1261,2.3392,0.1195,0.156
4126.5348,9.1371,65.6014,2.2529,0.1409,0.1872
4126.3824,9.323,63.0892,2.2487,0.1348,0.2057
4126.23,9.6863,66.2414,2.3292,0.0961,0.1922
4126.0776,10.0478,76.022,2.403,0.1044,0.1975
4125.9252,10.3869,84.7587,2.4641,0.1079,0.2016
4125.7728,11.3362,79.6493,2.4332,0.1137,0.1966
4125.6204,11.2608,69.2022,2.4056,0.0862,0.1778
4125.468,11.2061,64.378,2.3469,0.0874,0.1754
4125.3156,11.2168,77.3619,2.3295,0.0788,0.1736
4125.1632,11.0779,95.098,2.2255,0.0973,0.1777
4125.0108,10.8516,110.2087,2.2159,0.1066,0.1793
4124.8584,9.4969,115.4595,2.2633,0.1233,0.1816
4124.706,9.0518,105.7163,2.4502,0.1096,0.1565
4124.5536,8.9059,77.917,2.4899,0.0935,0.1283
4124.4012,8.8542,47.5607,2.4819,0.0727,0.1009
4124.2488,8.7959,28.3227,2.4964,0.0627,0.0856
4124.0964,8.7552,26.309,2.4943,0.0605,0.0811
4123.944,8.7548,27.8442,2.487,0.0632,0.0809
4123.7916,8.7973,29.8128,2.4846,0.0626,0.08
4123.6392,8.8423,30.6844,2.4798,0.067,0.0845
4123.4868,8.8736,30.0426,2.4756,0.0716,0.0914
4123.3344,8.8412,28.4444,2.4634,0.0754,0.0952
4123.182,8.8085,31.2094,2.4551,0.0813,0.1023
4123.0296,8.8219,29.6982,2.4606,0.0851,0.1036
4122.8772,8.8116,31.4394,2.4786,0.0809,0.1009
4122.7248,8.8186,29.1552,2.4986,0.0711,0.0896
4122.5724,8.8273,41.551,2.5143,0.0767,0.0931
4122.42,8.82,70.8126,2.5355,0.0938,0.1114
4122.2676,8.8413,104.3542,2.5735,0.1317,0.1502
4122.1152,8.9246,116.865,2.529,0.1631,0.1793
4121.9628,9.1414,96.0208,2.4487,0.1349,0.1587
4121.8104,9.3835,74.8019,2.4674,0.0883,0.1256
4121.658,9.7,61.4132,2.4451,0.0786,0.1182
4121.5056,9.6252,54.9795,2.4682,0.1012,0.1341
4121.3532,9.5818,42.6061,2.5119,0.1033,0.135
