Four_RT,Two_RT,One_RT,Four_RX,Two_RX,One_RX,DTCO,DTSH
0.74411,0.74672,0.7439,0.77198,0.77271,0.77229,64.3,109.8705
0.74182,0.74328,0.74036,0.76905,0.76954,0.76869,64.0296,109.3881
0.73982,0.74007,0.73691,0.76622,0.76649,0.765,66.8398,137.1641
0.73814,0.73715,0.73365,0.76356,0.76362,0.76133,67.1768,142.5897
0.73681,0.73454,0.7307,0.76109,0.76097,0.75784,67.8323,119.8193
0.73585,0.73228,0.72818,0.75889,0.75862,0.75477,66.3235,117.4125
0.73527,0.73037,0.72618,0.75702,0.75659,0.75229,65.5452,113.2255
0.73509,0.72881,0.72467,0.75553,0.75495,0.75046,64.7008,109.0253
0.73532,0.7276,0.72352,0.7545,0.75373,0.74922,65.5012,104.2957
0.73595,0.72672,0.72258,0.754,0.75299,0.74844,66.4495,103.2558
0.737,0.72617,0.72171,0.75411,0.75276,0.74798,65.02,102.4101
0.73848,0.72598,0.72089,0.75491,0.75313,0.74776,65.9324,103.8729
0.74041,0.7262,0.72022,0.75645,0.75418,0.74783,66.7456,104.2026
0.74279,0.72693,0.71983,0.75881,0.75602,0.74832,68.106,105.6666
0.74565,0.72831,0.71996,0.76202,0.75879,0.74945,67.4493,107.2887
0.74898,0.73048,0.72094,0.7661,0.76262,0.75152,68.0022,107.4916
0.7528,0.73361,0.72319,0.77103,0.7676,0.75495,67.586,108.185
0.75708,0.73782,0.72723,0.77678,0.7738,0.76031,66.0416,107.6793
0.76181,0.74318,0.73365,0.78325,0.78118,0.76826,65.0204,107.3647
0.76693,0.74966,0.7429,0.79034,0.78963,0.77932,64.644,106.5449
0.77239,0.75713,0.75502,0.79789,0.7989,0.79356,66.3524,105.539
0.77811,0.76538,0.76943,0.80574,0.80866,0.81032,67.4233,111.3985
0.784,0.77409,0.78489,0.81371,0.8185,0.82807,67.4241,115.0532
0.78997,0.7829,0.79968,0.82162,0.82799,0.84465,67.0149,116.808
0.79593,0.79148,0.81209,0.82934,0.83674,0.85783,66.5345,120.2663
0.80181,0.79952,0.82098,0.83675,0.84445,0.86614,67.5467,122.8081
0.80752,0.80683,0.82606,0.84378,0.851,0.86938,67.6124,121.9939
0.81304,0.81331,0.82792,0.85039,0.85642,0.86854,64.4848,114.7587
0.81832,0.81906,0.82758,0.85659,0.86094,0.8654,66.6987,112.3913
0.82334,0.82423,0.82628,0.86242,0.8649,0.86179,66.1302,111.0672
0.82811,0.82907,0.82495,0.86792,0.8687,0.85921,66.5628,113.7223
0.8326,0.83384,0.82435,0.87314,0.87273,0.85874,65.4667,111.5272
0.83682,0.83871,0.82538,0.87809,0.87726,0.86118,62.7793,113.6672
0.84072,0.84378,0.82877,0.88275,0.8824,0.86718,61.5479,118.0228
0.84425,0.84902,0.83516,0.88706,0.88808,0.87716,60.0852,113.4892
0.84738,0.85424,0.84466,0.89093,0.89401,0.89091,59.2455,112.6623
0.85002,0.85916,0.85651,0.89421,0.89975,0.90717,59.9863,111.0142
0.85212,0.86342,0.86893,0.89678,0.90477,0.92342,60.5112,108.0537
0.85363,0.86664,0.87946,0.89849,0.90853,0.93625,61.5989,103.997
0.85451,0.86853,0.88572,0.89923,0.9106,0.94245,62.4195,98.8034
0.85475,0.86892,0.88641,0.89897,0.91072,0.94041,61.1916,93.2457
0.85439,0.86779,0.8818,0.89769,0.90889,0.93096,60.4223,90.1474
0.85347,0.86531,0.87354,0.89547,0.9053,0.91689,60.5678,88.8839
0.85207,0.86175,0.86376,0.89245,0.90036,0.9016,61.805,91.0969
0.85027,0.85748,0.85429,0.88879,0.89456,0.8878,64.9316,92.0463
0.84817,0.85286,0.84621,0.88469,0.88838,0.87689,66.6999,95.0172
0.84587,0.84823,0.83982,0.88036,0.88228,0.86907,68.2213,95.0172
0.84346,0.84384,0.83497,0.87599,0.87658,0.86378,69.2219,108.1256
0.84101,0.83987,0.83123,0.87177,0.87148,0.8602,70.7447,116.5634
0.8386,0.8364,0.8283,0.86782,0.8671,0.85763,70.1358,128.7435
0.83629,0.83345,0.82593,0.86425,0.86342,0.8556,69.2306,135.7074
0.83412,0.83101,0.8239,0.86113,0.86042,0.85382,68.5903,133.9766
0.83213,0.82907,0.82218,0.85847,0.85804,0.85216,67.5142,130.9384
0.83034,0.82757,0.82082,0.85628,0.85618,0.85062,67.5231,124.737
0.82876,0.8265,0.81992,0.85452,0.85481,0.84931,64.6733,121.2535
0.82739,0.82584,0.81959,0.85315,0.85385,0.84837,64.8037,112.2105
0.82621,0.82554,0.81987,0.85211,0.85324,0.84793,66.3706,111.2879
0.8252,0.82553,0.82074,0.85132,0.85291,0.84805,63.6482,108.8667
0.82431,0.82573,0.82207,0.8507,0.85276,0.84871,65.4397,105.6236
0.82352,0.82604,0.82367,0.85017,0.8527,0.84976,65.3517,104.2789
0.82277,0.82636,0.82525,0.84965,0.85262,0.85094,64.9474,104.4144
0.82202,0.82658,0.82655,0.84907,0.85243,0.85198,65.4118,104.7176
0.82122,0.82661,0.82732,0.84837,0.85203,0.85258,64.9422,105.8403
0.82034,0.82635,0.8274,0.84748,0.85136,0.85252,64.1582,106.061
0.81935,0.82573,0.82675,0.84637,0.85037,0.85168,64.2339,104.7072
0.81822,0.82472,0.82541,0.84503,0.84901,0.8501,65.8214,102.6915
0.81694,0.82328,0.82351,0.84344,0.84728,0.84789,66.2993,102.5587
0.8155,0.82142,0.82121,0.84161,0.84521,0.84525,66.3951,99.2767
0.81391,0.81917,0.81862,0.83959,0.84283,0.84238,67.5764,93.3038
0.81221,0.81658,0.81582,0.8374,0.84021,0.8394,67.9997,98.5689
0.81041,0.81372,0.8128,0.83509,0.83738,0.83638,69.3661,99.7579
0.80858,0.81065,0.80952,0.83273,0.83443,0.83331,70.0273,99.1187
0.80677,0.80747,0.80593,0.83039,0.83143,0.83015,70.6969,104.2435
0.80504,0.80429,0.80201,0.82812,0.82846,0.82687,70.1715,102.9834
0.80347,0.80123,0.79782,0.82601,0.82561,0.82342,68.4451,105.9687
0.80212,0.79842,0.79347,0.82412,0.82301,0.81983,70.1295,105.3341
0.80105,0.79602,0.78922,0.82252,0.82079,0.81617,68.9387,104.0626
0.8003,0.79417,0.7854,0.82127,0.81908,0.81267,67.3405,103.3971
0.79991,0.79299,0.78249,0.82041,0.81799,0.80967,63.8338,100.1074
0.79987,0.79254,0.78097,0.81997,0.81762,0.80767,63.3143,99.4719
0.80019,0.79285,0.78125,0.81996,0.818,0.80721,64.256,101.728
0.80083,0.79385,0.78353,0.82037,0.8191,0.80871,65.1572,101.7007
0.80174,0.79541,0.78762,0.82118,0.82082,0.81225,67.2225,102.7574
0.80288,0.79735,0.79293,0.82235,0.82302,0.8175,68.0767,112.5055
0.80419,0.79944,0.79857,0.82384,0.82549,0.82369,68.292,114.1359
0.80563,0.80145,0.80353,0.82561,0.82804,0.82974,68.2906,112.9029
0.80714,0.8032,0.80695,0.82765,0.8305,0.83459,67.8545,110.7512
0.80871,0.80454,0.80834,0.82992,0.83275,0.83751,66.9626,116.9362
0.81032,0.80544,0.8077,0.83245,0.83476,0.83828,65.8376,118.3675
0.81198,0.80599,0.8054,0.83524,0.83663,0.83725,65.6906,119.8978
0.81367,0.80636,0.80207,0.83831,0.83854,0.8351,65.4497,118.9849
0.81542,0.80682,0.79849,0.8417,0.84074,0.8327,65.2757,122.0236
0.81723,0.80767,0.79531,0.8454,0.84351,0.83097,65.2569,122.2533
0.81911,0.80916,0.79342,0.8494,0.84706,0.83086,67.2639,117.8548
0.82102,0.8115,0.79363,0.85365,0.85152,0.83343,67.5088,111.6901
0.82295,0.81474,0.79673,0.85807,0.85687,0.83966,69.8979,110.5027
0.82483,0.81882,0.80316,0.86251,0.86292,0.85019,69.683,109.1342
0.8266,0.82352,0.81266,0.8668,0.86932,0.86473,69.086,108.1655
0.82818,0.82849,0.82414,0.87076,0.87561,0.88174,68.7269,106.9615
0.8295,0.83333,0.83574,0.87416,0.88125,0.89838,68.3822,103.5204
0.83047,0.8376,0.84542,0.87683,0.88576,0.91117,67.6216,103.8026
0.83103,0.84094,0.85164,0.87859,0.88873,0.9173,66.2482,104.6359
0.83114,0.84309,0.85403,0.87932,0.88994,0.91594,66.4274,104.656
0.8308,0.84394,0.8533,0.879,0.88938,0.90851,64.7734,105.4652
0.82999,0.84351,0.85074,0.87762,0.88717,0.89782,65.4449,105.7094
0.82877,0.84197,0.84747,0.87528,0.88359,0.88665,65.968,104.8116
0.82717,0.83952,0.84402,0.87211,0.87899,0.87673,64.8293,106.5906
0.82526,0.83641,0.84028,0.86828,0.87371,0.86852,67.157,104.7551
0.82311,0.83287,0.83588,0.86399,0.86807,0.86157,67.4049,106.1992
0.82078,0.82908,0.83054,0.85941,0.86233,0.85514,67.5486,107.4581
0.81834,0.82521,0.82437,0.85472,0.85669,0.84875,67.6205,109.5029
0.81586,0.82134,0.81786,0.85008,0.85129,0.8424,66.9414,110.8306
0.8134,0.81755,0.81155,0.84562,0.84625,0.83645,66.1763,112.3112
0.81099,0.81389,0.806,0.84141,0.84164,0.83135,65.4688,114.4051
0.80869,0.81041,0.8015,0.83754,0.83751,0.82744,63.2916,115.3193
0.80653,0.80711,0.79811,0.83403,0.83385,0.82482,62.9261,114.7643
0.80453,0.80401,0.79565,0.83092,0.83068,0.8233,63.9804,114.3689
0.80273,0.80113,0.79385,0.82819,0.82793,0.82255,65.3432,113.6087
0.80113,0.79846,0.79238,0.82586,0.82554,0.82214,66.7012,112.249
0.79977,0.79601,0.79099,0.82391,0.82346,0.82165,66.623,112.1346
0.79865,0.79379,0.78947,0.82235,0.82164,0.82079,67.0349,112.0993
0.7978,0.79186,0.7877,0.82119,0.82006,0.81938,67.5645,112.1231
0.79725,0.79029,0.78567,0.82044,0.81878,0.81738,67.2111,111.3004
0.79701,0.78916,0.78347,0.82013,0.81788,0.81493,66.9839,110.9532
0.79709,0.78859,0.78133,0.82029,0.81747,0.81231,66.9685,110.1668
0.79752,0.78869,0.7796,0.82094,0.8177,0.80996,67.1007,109.1537
0.79829,0.78953,0.77878,0.82208,0.8187,0.80844,67.1847,107.9579
0.79938,0.79118,0.77939,0.82369,0.82055,0.80838,67.7041,107.3743
0.80077,0.79363,0.78196,0.82573,0.82326,0.8104,67.3682,107.422
0.80239,0.7968,0.78685,0.82813,0.82678,0.81502,67.6127,102.28
0.80419,0.80053,0.79409,0.83077,0.83093,0.82238,67.341,102.6343
0.80611,0.80459,0.80318,0.83353,0.83545,0.83213,67.5136,104.3645
0.80808,0.8087,0.81309,0.83628,0.84001,0.84323,67.7838,105.1242
0.81001,0.81254,0.82237,0.83888,0.84424,0.85403,67.2114,104.0684
0.81185,0.81583,0.8295,0.84121,0.84782,0.86266,65.7871,104.0429
0.81356,0.81834,0.83343,0.84319,0.85047,0.86756,65.2979,104.8718
0.81511,0.81997,0.83387,0.84476,0.85205,0.8681,65.6965,102.8554
0.81649,0.82073,0.83139,0.84591,0.85257,0.86481,64.4448,101.4494
0.81769,0.82073,0.82705,0.8467,0.85218,0.85903,64.2537,100.2271
0.81875,0.8202,0.82199,0.8472,0.85111,0.85238,65.3947,97.6853
0.8197,0.81937,0.81706,0.84752,0.84969,0.84621,65.7919,98.0438
0.82058,0.81853,0.81275,0.84778,0.84824,0.84127,67.2771,100.1652
0.82141,0.81791,0.80923,0.84811,0.84708,0.83781,66.6678,102.9115
0.82224,0.81775,0.80651,0.84862,0.84647,0.83573,66.4737,102.3509
0.82306,0.8182,0.80465,0.84939,0.84663,0.83485,66.0479,103.594
0.82389,0.81938,0.80378,0.85048,0.84768,0.83512,65.5363,106.6061
0.82469,0.8213,0.80433,0.85186,0.84964,0.8367,66.2837,107.5664
